0,"Look deep into nature, and then you will understand everything better."
0,Colors are the smiles of nature.
0,"I believe in God, only I spell it Nature."
0,"Nature does not hurry, yet everything is accomplished."
0,"If you truly love nature, you will find beauty everywhere."
0,"Study nature, love nature, stay close to nature. It will never fail you."
0,Land really is the best art.
0,Nature is pleased with simplicity.
0,Nature is the art of God.
0,Every flower is a soul blossoming in nature.
1,The human spirit must prevail over technology.
1,It has become appallingly obvious that our technology has exceeded our humanity.
1,Technology like art is a soaring exercise of the human imagination.
1,Our technology forces us to live mythically.
1,Technology is a word that describes something that doesn’t work yet.
1,The real problem is not whether machines think but whether men do.
1,Ethics change with technology.
1,Technology is best when it brings people together.
1,Technology has to be invented or adopted.
1,Technology is a useful servant but a dangerous master.
